,CURRENT,PREVIOUS,PREVIOUS_SPEAKER,PREVIOUS_DISTANCE,PREVIOUS_DISTANCE_LOG,PREVIOUS_BETA_MAN,PREVIOUS_BETA_WERDEN,QUASI_PERSISTENCE,HUMAN_ID,INTERACTION_ID,TURN_LENGTH,CONFEDERATE,CORPUS
64651,werden,werden,A,15,2.70805020110221,False,False,True,20171130B,88_VACC,8,True,VACC
64707,werden,werden,S,56,4.02535169073515,False,False,True,20171130B,88_VACC,9,True,VACC
64714,werden,werden,S,7,1.9459101490553132,False,False,True,20171130B,88_VACC,8,True,VACC
64942,man,werden,S,228,5.429345628954441,False,False,True,20171130B,88_VACC,7,True,VACC
65043,werden,werden,J,55,4.007333185232471,False,False,False,20171130B,88_VACC,6,True,VACC
67563,man,man,J,18,2.8903717578961645,False,False,False,20171130C,92_VACC,50,True,VACC
67571,man,man,S,8,2.0794415416798357,False,False,False,20171130C,92_VACC,50,True,VACC
67639,werden,man,S,68,4.219507705176107,False,False,False,20171130C,92_VACC,6,True,VACC
67763,man,man,J,85,4.442651256490317,False,False,True,20171130C,92_VACC,8,True,VACC
68084,werden,werden,J,37,3.610917912644224,False,False,False,20171130C,92_VACC,6,True,VACC
68281,man,werden,S,197,5.2832037287379885,False,False,False,20171130C,92_VACC,17,True,VACC
68398,werden,werden,A,15,2.70805020110221,False,False,True,20171130C,92_VACC,9,True,VACC
68504,werden,werden,J,30,3.4011973816621555,False,False,False,20171130C,92_VACC,8,True,VACC
68557,werden,werden,S,53,3.970291913552122,False,False,True,20171130C,92_VACC,5,True,VACC
68608,werden,werden,S,51,3.9318256327243257,True,False,True,20171130C,92_VACC,8,True,VACC
68791,werden,werden,A,20,2.995732273553991,False,False,True,20171130C,92_VACC,9,True,VACC
68933,werden,werden,J,91,4.51085950651685,False,False,True,20171130C,92_VACC,8,True,VACC
69014,werden,werden,J,16,2.772588722239781,False,False,False,20171130C,92_VACC,6,True,VACC
71582,man,man,J,8,2.0794415416798357,False,False,False,20171201A,96_VACC,7,True,VACC
72032,werden,man,J,332,5.805134968916488,False,False,True,20171201A,96_VACC,8,True,VACC
72140,werden,werden,S,108,4.68213122712422,False,False,True,20171201A,96_VACC,6,True,VACC
72161,werden,werden,S,21,3.044522437723423,False,False,True,20171201A,96_VACC,12,True,VACC
72166,werden,werden,S,5,1.6094379124341005,False,False,True,20171201A,96_VACC,12,True,VACC
74385,werden,man,J,251,5.5254529391317835,False,False,True,20171201B,98_VACC,8,True,VACC
74455,man,man,J,59,4.07753744390572,False,False,True,20171201B,98_VACC,14,True,VACC
75694,werden,werden,S,16,2.772588722239781,False,True,False,20171201B,99_VACC,6,True,VACC
76033,man,werden,S,339,5.82600010738045,False,False,False,20171201B,99_VACC,29,True,VACC
76179,man,man,S,146,4.983606621708336,True,False,False,20171201B,99_VACC,49,True,VACC
76201,man,man,S,22,3.091042453358316,True,False,False,20171201B,99_VACC,49,True,VACC
77281,werden,man,J,964,6.871091294610546,False,False,False,20171201B,99_VACC,8,True,VACC
77454,werden,werden,A,20,2.995732273553991,False,False,True,20171201B,99_VACC,6,True,VACC
77537,werden,werden,J,15,2.70805020110221,False,False,False,20171201B,99_VACC,7,True,VACC
77563,werden,werden,S,26,3.258096538021482,False,False,True,20171201B,99_VACC,9,True,VACC
77720,man,man,J,65,4.174387269895637,False,False,False,20171201B,99_VACC,17,True,VACC
77818,werden,werden,J,74,4.30406509320417,False,False,True,20171201B,99_VACC,6,True,VACC
77903,werden,werden,A,48,3.871201010907891,False,False,False,20171201B,99_VACC,6,True,VACC
80506,werden,werden,S,33,3.49650756146648,False,True,False,20171208A,104_VACC,6,True,VACC
80571,man,werden,S,65,4.174387269895637,True,True,False,20171208A,104_VACC,7,True,VACC
80573,man,man,S,2,0.6931471805599453,False,True,False,20171208A,104_VACC,7,True,VACC
80594,man,man,S,21,3.044522437723423,False,False,False,20171208A,104_VACC,17,True,VACC
81199,man,werden,A,20,2.995732273553991,False,False,True,20171208A,104_VACC,10,True,VACC
81263,man,man,S,64,4.1588830833596715,False,False,True,20171208A,104_VACC,18,True,VACC
81307,werden,werden,J,18,2.8903717578961645,False,False,False,20171208A,104_VACC,6,True,VACC
82928,man,man,J,366,5.902633333401366,False,False,True,20171208B,106_VACC,11,True,VACC
83294,werden,werden,J,1,0.0,False,False,False,20171208B,107_VACC,8,True,VACC
83304,werden,werden,S,10,2.302585092994046,False,False,False,20171208B,107_VACC,6,True,VACC
83923,man,man,J,41,3.713572066704308,False,False,False,20171208B,107_VACC,9,True,VACC
84182,werden,werden,J,21,3.044522437723423,False,False,False,20171208B,107_VACC,6,True,VACC
84254,man,werden,S,72,4.276666119016055,False,False,False,20171208B,107_VACC,33,True,VACC
84294,werden,werden,A,16,2.772588722239781,False,False,True,20171208B,107_VACC,7,True,VACC
84344,werden,werden,S,50,3.912023005428146,False,False,True,20171208B,107_VACC,4,True,VACC
84438,werden,werden,S,94,4.543294782270004,False,False,True,20171208B,107_VACC,6,True,VACC
84522,werden,werden,S,84,4.430816798843313,False,False,True,20171208B,107_VACC,15,True,VACC
9127,werden,werden,A,119,4.77912349311153,False,False,True,,86_VACW,9,False,VACW
9137,werden,werden,S,10,2.302585092994046,False,False,True,,86_VACW,10,False,VACW
33305,werden,werden,S,17,2.833213344056216,False,False,False,,369_VACW,6,False,VACW
33322,werden,werden,S,17,2.833213344056216,False,False,False,,369_VACW,6,False,VACW
33340,werden,werden,S,18,2.8903717578961645,False,False,False,,369_VACW,8,False,VACW
33359,werden,werden,S,19,2.9444389791664403,False,False,False,,369_VACW,8,False,VACW
33378,werden,werden,S,19,2.9444389791664403,False,False,False,,369_VACW,8,False,VACW
40175,werden,werden,S,19,2.9444389791664403,False,False,False,,443_VACW,8,False,VACW
40196,werden,werden,S,21,3.044522437723423,False,False,False,,443_VACW,8,False,VACW
40595,man,werden,A,81,4.394449154672439,False,False,True,,447_VACW,7,False,VACW
47834,werden,werden,A,167,5.117993812416755,False,False,False,,534_VACW,10,False,VACW
50234,man,werden,A,43,3.7612001156935624,False,False,False,,561_VACW,8,False,VACW
53900,werden,werden,A,5,1.6094379124341005,False,False,True,,597_VACW,7,False,VACW
55800,werden,werden,A,66,4.189654742026425,False,True,True,,607_VACW,8,False,VACW
55919,man,werden,A,67,4.204692619390966,False,True,False,,607_VACW,7,False,VACW
55937,man,man,S,18,2.8903717578961645,False,True,False,,607_VACW,7,False,VACW
55955,man,man,S,18,2.8903717578961645,False,False,False,,607_VACW,7,False,VACW
73386,man,man,S,35,3.5553480614894135,False,False,False,,763_VACW,6,False,VACW
73615,man,man,S,229,5.43372200355424,False,False,True,,763_VACW,6,False,VACW
73626,man,man,S,11,2.3978952727983707,False,False,True,,763_VACW,6,False,VACW
74833,werden,werden,A,53,3.970291913552122,False,False,False,,769_VACW,6,False,VACW
74844,werden,werden,S,11,2.3978952727983707,False,False,False,,769_VACW,8,False,VACW
82489,man,man,A,23,3.1354942159291497,False,False,True,,879_VACW,5,False,VACW
82499,man,man,S,10,2.302585092994046,False,False,True,,879_VACW,7,False,VACW
91818,werden,werden,A,136,4.912654885736052,False,True,True,,949_VACW,5,False,VACW
96297,werden,werden,S,100,4.605170185988092,False,False,True,,1007_VACW,5,False,VACW
96364,werden,werden,A,63,4.143134726391533,False,False,False,,1007_VACW,6,False,VACW
96378,werden,werden,S,14,2.6390573296152584,False,False,False,,1007_VACW,5,False,VACW
96485,werden,werden,S,107,4.672828834461906,False,False,True,,1007_VACW,10,False,VACW
96599,werden,werden,S,114,4.736198448394496,False,True,True,,1007_VACW,5,False,VACW
1741,man,man,S,4,1.3862943611198906,False,False,False,20170717A,4_RBC,15,False,RBC
4705,man,man,S,100,4.605170185988092,False,False,False,20170717C,10_RBC,12,False,RBC
11618,man,man,S,203,5.313205979041787,False,True,True,20170718B,26_RBC,15,False,RBC
21699,man,man,S,5,1.6094379124341005,False,False,True,20170719C,51_RBC,23,False,RBC
